## Master file format version 1.0           2001.08.21 CCT&NRV

                         2022 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - December 22, 2022 - CCT

  SESSION      SESSION DATE  DOY TIME  DUR       STATIONS                            SKED CORR STATUS  PF  DBC SUBM  DEL  MK4
    NAME         CODE  mondd ddd hh:mm hr                                                      yymondd    CODE      days  NUM 
------------------------------------------------------------------------------------------------------------------------------
|SI22-066      |Z22066|MAR07| 66|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |MH|VIEN|   0|    |
|IN322-066     |Q22066|MAR07| 66|07:00|1.0|IsNsNyWnWz                               |DACH|BONN|       |    |XK|NASA|   0|    |
|IN122-066     |I22066|MAR07| 66|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22066    |V22066|MAR07| 66|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-067     |I22067|MAR08| 67|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22067    |V22067|MAR08| 67|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-067     |S22067|MAR08| 67|19:45|1.0|MgWs                                     |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-067A    |S2067A|MAR08| 67|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|IN122-068     |I22068|MAR09| 68|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22068    |V22068|MAR09| 68|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-069     |I22069|MAR10| 69|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22069    |V22069|MAR10| 69|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-070     |I22070|MAR11| 70|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22070    |V22070|MAR11| 70|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN222-071     |Q22071|MAR12| 71|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|IN222-072     |Q22072|MAR13| 72|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|SI22-073      |Z22073|MAR14| 73|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |MH|VIEN|   0|    |
|IN122-073     |I22073|MAR14| 73|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22073    |V22073|MAR14| 73|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|INI22-073     |II2073|MAR14| 73|23:30|1.0|KkWz                                     |NASA|WASH|       |    |XZ|NASA|   0|    |
|IN122-074     |I22074|MAR15| 74|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22074    |V22074|MAR15| 74|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-074     |S22074|MAR15| 74|19:45|1.0|MgWs                                     |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-074A    |S2074A|MAR15| 74|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|IN122-075     |I22075|MAR16| 75|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22075    |V22075|MAR16| 75|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-076     |I22076|MAR17| 76|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22076    |V22076|MAR17| 76|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|INI22-076     |II2076|MAR17| 76|23:30|1.0|KkWz                                     |NASA|WASH|       |    |XZ|NASA|   0|    |
|IN122-077     |I22077|MAR18| 77|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22077    |V22077|MAR18| 77|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VGOS-T2077    |VT2077|MAR18| 77|20:00|1.0|GsK2MgOeWfWsYj -HbOw                     |DACH|HAYS|       |    |VG|NASA|   0|    |
|IN222-078     |Q22078|MAR19| 78|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN222-079     |Q22079|MAR20| 79|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN322-080     |Q22080|MAR21| 80|07:00|1.0|NsNyShWnWz                               |DACH|BONN|       |    |XK|NASA|   0|    |
|IN122-080     |I22080|MAR21| 80|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22080    |V22080|MAR21| 80|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|SI22-081      |Z22081|MAR22| 81|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |MH|VIEN|   0|    |
|IN122-081     |I22081|MAR22| 81|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22081    |V22081|MAR22| 81|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-081     |S22081|MAR22| 81|19:45|1.0|MgWs                                     |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-081A    |S2081A|MAR22| 81|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|INI22-081     |II2081|MAR22| 81|23:30|1.0|KkWz                                     |NASA|WASH|       |    |XZ|NASA|   0|    |
|IN122-082     |I22082|MAR23| 82|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22082    |V22082|MAR23| 82|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-083     |I22083|MAR24| 83|18:30|1.0|KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22083    |V22083|MAR24| 83|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|INI22-083     |II2083|MAR24| 83|23:30|1.0|KkWz                                     |NASA|WASH|       |    |XZ|NASA|   0|    |
|IN122-084     |I22084|MAR25| 84|18:45|1.0|KkWnWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22084    |V22084|MAR25| 84|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN222-085     |Q22085|MAR26| 85|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|VGOS-B2085    |B22085|MAR26| 85|07:30|1.0|IsOe -Ow                                 |DACH|GSI |       |    |VB|NASA|   0|    |
|IN222-086     |Q22086|MAR27| 86|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|VGOS-B2086    |B22086|MAR27| 86|07:30|1.0|IsOe -Ow                                 |DACH|GSI |       |    |VB|NASA|   0|    |
|SI22-087      |Z22087|MAR28| 87|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |MH|VIEN|   0|    |
|IN322-087     |Q22087|MAR28| 87|07:00|1.0|NsNyShWnWz                               |DACH|BONN|       |    |XK|NASA|   0|    |
|IN122-087     |I22087|MAR28| 87|18:30|1.0|KkWnWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22087    |V22087|MAR28| 87|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|INI22-087     |II2087|MAR28| 87|23:30|1.0|KkWz                                     |NASA|WASH|       |    |XZ|NASA|   0|    |
|IN122-088     |I22088|MAR29| 88|18:30|1.0|KkWnWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22088    |V22088|MAR29| 88|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-088     |S22088|MAR29| 88|19:45|1.0|MgWs                                     |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-088A    |S2088A|MAR29| 88|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|IN122-089     |I22089|MAR30| 89|18:30|1.0|KkWnWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22089    |V22089|MAR30| 89|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-090     |I22090|MAR31| 90|18:30|1.0|KkSvWnWz                                 |USNO|WASH|       |    |XU|NASA|   0|    |
